Chemical,Health Hazards,Function in Cosmetics,Common Uses,Regulatory Limitations (if applicable)
Titanium dioxide,"Possible respiratory irritation, potential carcinogen","UV filter, pigment","Sunscreens, makeup products",FDA-approved; EU: Up to 25% in cosmetics
Ethyl acrylate,"Irritation to eyes, skin, respiratory tract; potential carcinogen",Monomer,"Nail polish, adhesives, coatings",OSHA PEL: 20 ppm (8-hour TWA); ACGIH TLV: 2 ppm (8-hour TWA)
Carbon-black extracts,"Respiratory irritation, potential carcinogen",Pigment,"Eyeliners, mascaras, lipsticks","FDA-approved; EU: Up to 20% in non-eye area cosmetics, up to 10% in eye area cosmetics"
Retinol/retinyl esters,"Skin irritation, photosensitivity, potential developmental/reproductive toxicity, potential teratogen",Vitamin A derivative,"Anti-aging creams, serums, acne treatments",EU: Maximum concentration of 0.3% for retinol and its esters
Coffee,"Potential cardiovascular effects (in high doses), increased heart rate, insomnia","Antioxidant, fragrance","Skincare, haircare products, perfumes",Generally Recognized as Safe (GRAS) by FDA for topical use; limited by caffeine content in some regions
"Silica, crystalline","Respiratory irritation, potential carcinogen","Absorbent, abrasive","Exfoliants, powders, makeup products",EU: Exposure limit of 0.1 mg/m3 (respirable fraction)
Cocamide DEA,"Skin irritation, potential allergen",Surfactant,"Shampoos, body washes, cleansers",No specific restrictions in cosmetics regulations
Cocamide diethanolamine,"Skin irritation, potential allergen",Surfactant,"Shampoos, body washes, cleansers",No specific restrictions in cosmetics regulations
Benzophenone-3,"Hormone disruption, potential carcinogen",UV filter,"Sunscreens, lip balms, skincare products",FDA-approved; EU: Up to 6% in sunscreen products
Formaldehyde (gas),"Respiratory irritation, potential carcinogen",Preservative,"Nail polishes, hair straightening treatments, cosmetics",OSHA PEL: 0.75 ppm (8-hour TWA); ACGIH TLV: 0.3 ppm (8-hour TWA)
Styrene,"Respiratory irritation, potential carcinogen",Monomer,"Nail polishes, adhesives, coatings",OSHA PEL: 50 ppm (8-hour TWA); ACGIH TLV: 20 ppm (8-hour TWA)
Ethylene glycol,"Toxic if ingested, potential kidney damage",Solvent,"Hair dyes, skincare products, antifreeze",FDA: Concentration ? 5% for rinse-off products; EU: Up to 10% in hair dyes
Benzene,"Carcinogen, potential hematotoxicity, neurological effects",Solvent,"Fragrances, nail polishes, hair sprays",OSHA PEL: 1 ppm (8-hour TWA); ACGIH TLV: 0.5 ppm (8-hour TWA)
Lead,"Neurotoxicity, developmental/reproductive toxicity, potential carcinogen",Pigment,"Lipsticks, eyeliners, hair dyes",FDA: Not permitted in cosmetics except for trace amounts as unavoidable impurities
Toluene,"Neurotoxicity, respiratory irritation",Solvent,"Nail polishes, hair dyes, fragrances",OSHA PEL: 200 ppm (8-hour TWA); ACGIH TLV: 50 ppm (8-hour TWA)
Nickel (Metallic),"Skin irritation, potential allergen, potential carcinogen",Pigment,"Eyeliners, lipsticks, nail polishes",EU: Concentration ? 1% in products that remain on skin
Arsenic (inorganic),"Carcinogen, potential developmental/reproductive toxicity",Preservative,"Skin creams, hair dyes, nail polishes",FDA: Not permitted in cosmetics except for trace amounts as unavoidable impurities
Methylene chloride,"Neurotoxicity, potential carcinogen",Solvent,"Paint removers, adhesives, aerosol sprays",OSHA PEL: 25 ppm (8-hour TWA); ACGIH TLV: 50 ppm (8-hour TWA)
Propylene oxide,"Irritation to eyes, respiratory tract; potential carcinogen",Monomer,"Foams, adhesives, personal care products",OSHA PEL: 2 ppm (8-hour TWA); ACGIH TLV: 20 ppm (8-hour TWA)
Carbon black,"Respiratory irritation, potential carcinogen",Pigment,"Eyeliners, mascaras, lipsticks","FDA-approved; EU: Up to 30% in non-eye area cosmetics, up to 10% in eye area cosmetics"
Cadmium compounds,"Carcinogen, potential kidney damage",Pigment,"Nail polishes, hair dyes, makeup products",EU: Concentration ? 5% in nail products
Coal Tar,"Potential carcinogen, skin irritation","Anti-dandruff agent, pigment","Shampoos, scalp treatments, hair dyes",FDA: Concentration ? 5% for hair dyes; EU: Restricted use in cosmetics
Benzyl chloride,"Irritation to eyes, skin, respiratory tract; potential carcinogen",Solvent,"Dyes, fragrances, pharmaceuticals",OSHA PEL: 1 ppm (8-hour TWA); ACGIH TLV: 0.5 ppm (8-hour TWA)
Mercury compounds,"Neurotoxicity, potential developmental/reproductive toxicity, potential carcinogen","Preservative, pigment","Skin lightening creams, mascaras, eyeliners",FDA: Not permitted in cosmetics except for trace amounts as unavoidable impurities
Acrylamide,"Neurotoxicity, potential carcinogen",Monomer,"Nail polishes, hair gels, adhesives",No specific restrictions in cosmetics regulations
Formaldehyde,"Respiratory irritation, potential carcinogen",Preservative,"Nail hardeners, hair straightening treatments, cosmetics",OSHA PEL: 0.75 ppm (8-hour TWA); ACGIH TLV: 0.3 ppm (8-hour TWA)
"1,2-Hexanediol","Skin irritation, allergic reactions","Humectant, solvent","Moisturizers, creams, lotions",No specific restrictions in cosmetics regulations
"1,4-Dioxane","Carcinogenicity, skin irritation",Solvent,"Shampoos, body washes, cleansers",No specific restrictions in cosmetics regulations
"2-Bromo-2-Nitropropane-1,3-Diol","Skin irritation, potential respiratory effects",Preservative,"Personal care products, cosmetics",No specific restrictions in cosmetics regulations
Acetaldehyde,"Irritation to eyes, skin, respiratory tract; possible carcinogen","Solvent, fragrance","Fragrances, nail polishes, hair dyes",OSHA PEL: 25 ppm (8-hour TWA); ACGIH TLV: 10 ppm (8-hour TWA)
Acetamide,"Irritation to eyes, skin, respiratory tract; potential carcinogen",Solvent,"Personal care products, cosmetics",No specific restrictions in cosmetics regulations
Acetone,"Skin irritation, respiratory irritation, headaches",Solvent,"Nail polish removers, paints, adhesives",OSHA PEL: 1000 ppm (8-hour TWA); ACGIH TLV: 500 ppm (8-hour TWA)
Acrylates Copolymer,"Skin irritation, allergic reactions","Film-forming agent, binder","Nail polishes, hair sprays, mascaras",No specific restrictions in cosmetics regulations
Adipic Acid,"Skin irritation, allergic reactions","pH adjuster, moisturizer","Skincare products, hair dyes, nail polishes",No specific restrictions in cosmetics regulations
Aluminum Powder,"Respiratory tract irritation, possible neurotoxic effects",Pigment,"Eyeshadows, nail polishes, body paints",No specific restrictions in cosmetics regulations
Ammonium Laureth Sulfate,Skin and eye irritation,Surfactant,"Shampoos, cleansers, bath products",No specific restrictions in cosmetics regulations
Ammonium Lauryl Sulfate,Skin and eye irritation,Surfactant,"Shampoos, cleansers, bath products",No specific restrictions in cosmetics regulations
Ammonium Polyacrylate,"Skin irritation, allergic reactions","Binder, film-former","Hair gels, styling products, adhesives",No specific restrictions in cosmetics regulations
Ammonium Xylene Sulfonate,"Skin irritation, allergic reactions","Surfactant, emulsifier","Shampoos, cleansers, bath products",No specific restrictions in cosmetics regulations
Amyl Acetate,"Irritation to eyes, skin, respiratory tract","Solvent, fragrance","Nail polish removers, paints, adhesives",No specific restrictions in cosmetics regulations
Amyl Cinnamal,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Anise Alcohol,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Ascorbyl Palmitate,"Skin irritation, potential allergic reactions",Antioxidant,"Skincare products, anti-aging creams, serums",No specific restrictions in cosmetics regulations
Azelaic Acid,"Skin irritation, potential allergic reactions","Antimicrobial, anti-inflammatory","Skincare products, acne treatments",No specific restrictions in cosmetics regulations
Benzaldehyde,"Irritation to eyes, skin, respiratory tract",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Benzalkonium Chloride,"Skin and eye irritation, potential respiratory effects",Preservative,"Skincare products, disinfectants",No specific restrictions in cosmetics regulations
Benzethonium Chloride,"Skin and eye irritation, potential respiratory effects",Preservative,"Skincare products, disinfectants",No specific restrictions in cosmetics regulations
Benzophenone-3,"Endocrine disruption, potential carcinogen",UV filter,"Sunscreens, lip balms, skincare products",FDA-approved; EU: Up to 6% in sunscreen products
Benzophenone-4,"Endocrine disruption, potential carcinogen",UV filter,"Sunscreens, lip balms, skincare products",No specific restrictions in cosmetics regulations
Benzophenone-5,"Endocrine disruption, potential carcinogen",UV filter,"Sunscreens, lip balms, skincare products",No specific restrictions in cosmetics regulations
Benzyl Alcohol,"Skin irritation, allergic reactions","Fragrance, solvent","Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Benzyl Benzoate,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Benzyl Salicylate,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Beta Glucan,"Skin irritation, potential allergic reactions",Skin conditioning agent,"Skincare products, anti-aging creams, serums",No specific restrictions in cosmetics regulations
BHA,"Potential endocrine disruption, allergic reactions","Antioxidant, preservative","Lip balms, moisturizers, makeup products",FDA-approved; EU: Restricted use in cosmetics
BHT,"Potential endocrine disruption, allergic reactions","Antioxidant, preservative","Lip balms, moisturizers, makeup products",No specific restrictions in cosmetics regulations
Bismuth Oxychloride,"Skin irritation, potential respiratory effects","Bulking agent, opacifying agent","Mineral makeup, powders, eyeshadows",No specific restrictions in cosmetics regulations
Butyl Methoxydibenzoylmethane,"Skin irritation, potential allergic reactions",UV filter,"Sunscreens, lip balms, skincare products",FDA-approved; EU: Up to 5% in sunscreen products
Butylated Hydroxytoluene (BHT),"Potential endocrine disruption, allergic reactions","Antioxidant, preservative","Lip balms, moisturizers, makeup products",No specific restrictions in cosmetics regulations
Butylene Glycol,"Skin irritation, allergic reactions","Humectant, solvent","Skincare products, hair care products",No specific restrictions in cosmetics regulations
Butyloctyl Salicylate,"Skin irritation, potential allergic reactions",UV filter,"Sunscreens, lip balms, skincare products",FDA-approved; EU: Up to 5% in sunscreen products
Butylparaben,"Endocrine disruption, allergic reactions",Preservative,"Skincare products, makeup products",EU: Limited to 0.19% in leave-on products
