Chemical,Health Hazards,Compounds,Additional Information
Titanium Dioxide,Respiratory tract irritation; possible carcinogen,TiO2,Commonly used as a pigment and sunscreen ingredient. Linked to potential lung cancer risk in inhalation exposure.
Ethyl Acrylate,"Irritation of eyes, skin, respiratory system",C5H8O2,Used in the production of various plastics and coatings.
Carbon Black Extracts,"Respiratory issues, carcinogenic potential",Carbon,Used as a pigment and strengthening agent in cosmetics.
Retinol,"Skin irritation, photosensitivity, teratogenic effects",C20H30O2,"A form of vitamin A, commonly used in skincare products."
Coffee,"Potential staining, jitteriness, increased heart rate",Various compounds from Coffea species,Contains caffeine and various antioxidants. Can have cosmetic applications like reducing puffiness.
"Silica, Crystalline","Respiratory issues, lung cancer risk",SiO2,Used in cosmetics for its absorbent and anti-caking properties.
Cocamide DEA,"Skin irritation, potential carcinogen",Various compounds derived from coconut oil,Used as a foaming agent and emulsifier in cosmetics.
Cocamide Diethanolamine (DEA),"Skin irritation, possible carcinogen",Various compounds derived from coconut oil,Used similarly to Cocamide DEA.
Estragole,"Potential carcinogen, liver toxicity",C10H12O2,"Found naturally in various herbs and spices, used as a fragrance in cosmetics."
Methyleugenol,"Potential carcinogen, liver toxicity",C11H14O2,"Found naturally in certain herbs and spices, used in fragrances and flavorings."
Butylated Hydroxyanisole (BHA),"Skin irritation, endocrine disruption, potential carcinogen",C11H16O2,Used as an antioxidant in cosmetics and food. Associated with various health concerns.
Benzophenone-3 (Oxybenzone),"Endocrine disruption, skin irritation, potential carcinogen",C14H12O3,Commonly used as a UV filter in sunscreens. Concerns over hormone disruption and environmental impact.
Acetaldehyde,"Respiratory irritant, carcinogen",C2H4O,"Naturally found in ripe fruits and fermented beverages, also produced during combustion."
Triethanolamine,"Skin irritation, potential allergen",C6H15NO3,Used as an emulsifier and pH adjuster in cosmetics.
Diethanolamine (DEA),"Skin irritation, potential carcinogen",C4H11NO2,Used as a foaming agent and pH adjuster in cosmetics.
Genistein (purified),"Hormone disruption, potential carcinogen",C15H10O5,"Naturally occurring in soy products, used in cosmetics for its antioxidant properties."
"1,4-Dioxane","Carcinogenic potential, respiratory irritant",C4H8O2,A byproduct in the production of certain cosmetics and detergents.
Formaldehyde (gas),"Respiratory irritant, potential carcinogen",CH2O,Used in small amounts in cosmetics as a preservative.
Styrene,"Neurotoxicity, potential carcinogen",C8H8,"Used in the production of plastics and rubber, potential exposure in some cosmetic packaging."
Ethylene Glycol,"Poisoning, kidney damage, reproductive toxicity",C2H6O2,"Used as a solvent and antifreeze, accidental ingestion can be fatal."
